University,Country,WorldRank,Latitude,Longitude,Type
Deakin University,Australia,201,-38.1979,144.3,Top 500
James Cook University,Australia,201,-19.33,146.76,Top 500
Macquarie University,Australia,201,-33.78,151.12,Top 500
Queensland University of Technology,Australia,201,-27.48,153.03,Top 500
University of Tasmania,Australia,201,-42.88,147.33,Top 500
University of Wollongong,Australia,201,-34.41,150.88,Top 500
University of Innsbruck,Austria,201,47.26,11.38,Top 500
Medical University of Vienna,Austria,201,48.22,16.35,Top 500
University of Antwerp,Belgium,201,51.22,4.41,Top 500
Vrije Universiteit Brussel (VUB),Belgium,201,50.82,4.39,Top 500
Queen's University,Canada,201,44.23,-76.5,Top 500
Laval University,Canada,201,46.78,-71.27,Top 500
Western University,Canada,201,43.01,-81.27,Top 500
City University of Hong Kong,China,201,22.34,114.17,Top 500
The Hong Kong University of Science and Technology,China,201,22.34,114.27,Top 500
Wuhan University,China,201,30.54,114.36,Top 500
China Medical University (Taichung),China,201,24.16,120.68,Top 500
Beijing Normal University,China,201,39.96,116.37,Top 500
Central South University,China,201,28.16,112.93,Top 500
South China University of Technology,China,201,23.15,113.34,Top 500
Jilin University,China,201,43.83,125.29,Top 500
The Hong Kong Polytechnic University,China,201,22.3,114.18,Top 500
Dalian University of Technology,China,201,38.88,121.53,Top 500
Soochow University (China),China,201,31.3,120.65,Top 500
Southeast University,China,201,23.79,90.4,Top 500
Beihang University,China,201,39.97,116.34,Top 500
Tianjin University,China,201,39.11,117.18,Top 500
University of Electronic Science and Technology of China,China,201,22.53,113.39,Top 500
Charles University in Prague,Czech Republic,201,50.09,14.42,Top 500
Aalborg University,Denmark,201,57.0142,9.9847,Top 500
University of Lorraine,France,201,48.6962,6.1765,Top 500
Claude Bernard University Lyon 1,France,201,45.7796,4.8656,Top 500
University of Montpellier,France,201,43.6339,3.8489,Top 500
Paul Sabatier University (Toulouse 3),France,201,43.562,1.4699,Top 500
University of Bordeaux,France,201,44.8245,-0.6059,Top 500
University of Mainz,Germany,201,49.9926,8.2416,Top 500
University of Kiel,Germany,201,54.3461,10.1147,Top 500
University of Ulm,Germany,201,48.4234,9.9552,Top 500
RWTH Aachen University,Germany,201,50.7801,6.0657,Top 500
University of Erlangen-Nuremberg,Germany,201,49.5979,11.0046,Top 500
Karlsruhe Institute of Technology (KIT),Germany,201,49.0119,8.417,Top 500
The Hong Kong University of Science and Technology,"Hong Kong, China",201,22.3364,114.2655,Top 500
The Hong Kong Polytechnic University,"Hong Kong, China",201,22.3042,114.1798,Top 500
City University of Hong Kong,"Hong Kong, China",201,22.3367,114.1724,Top 500
University of Bologna,Italy,201,44.4962,11.3542,Top 500
Sapienza University of Rome,Italy,201,41.9038,12.5144,Top 500
University of Naples Federico II,Italy,201,40.8466,14.2568,Top 500
University of Turin,Italy,201,45.0694,7.6889,Top 500
Polytechnic Institute of Milan,Italy,201,45.4782,9.2284,Top 500
University of Padua,Italy,201,45.4068,11.8774,Top 500
University of Pisa,Italy,201,43.7167,10.3989,Top 500
Kyushu University,Japan,201,33.63,130.43,Top 500
University of Tsukuba,Japan,201,36.11,140.1,Top 500
Korea Advanced Institute of Science and Technology,"Korea, Republic of",201,36.37,127.36,Top 500
Korea University,"Korea, Republic of",201,37.59,127.03,Top 500
Hanyang University,"Korea, Republic of",201,37.56,127.05,Top 500
National Autonomous University of Mexico,Mexico,201,19.34,-99.19,Top 500
Maastricht University,Netherlands,201,50.85,5.69,Top 500
The University of Auckland,New Zealand,201,-36.85,174.77,Top 500
University of Bergen,Norway,201,60.39,5.32,Top 500
King Abdullah University of Science and Technology,Saudi Arabia,201,22.31,39.1,Top 500
University of the Witwatersrand,South Africa,201,-26.19,28.03,Top 500
Pompeu Fabra University,Spain,201,41.38,2.18,Top 500
University of Granada,Spain,201,37.19,-3.6,Top 500
Complutense University of Madrid,Spain,201,40.45,-3.73,Top 500
KTH Royal Institute of Technology,Sweden,201,59.35,18.07,Top 500
Chalmers University of Technology,Sweden,201,57.69,11.97,Top 500
Swedish University of Agricultural Sciences,Sweden,201,59.82,17.66,Top 500
Newcastle University,United Kingdom,201,54.98,-1.61,Top 500
University of Leicester,United Kingdom,201,52.62,-1.12,Top 500
University of Aberdeen,United Kingdom,201,57.16,-2.1,Top 500
Queen's University,United Kingdom,201,54.58,-5.93,Top 500
The University of Reading,United Kingdom,201,51.44,-0.94,Top 500
University of East Anglia,United Kingdom,201,52.62,1.24,Top 500
University of Sussex,United Kingdom,201,50.87,-0.09,Top 500
Durham University,United Kingdom,201,54.77,-1.58,Top 500
Brandeis University,United States,201,42.37,-71.26,Top 500
Colorado State University,United States,201,40.57,-105.09,Top 500
Dartmouth College,United States,201,43.7,-72.29,Top 500
Florida State University,United States,201,30.44,-84.3,Top 500
George Mason University,United States,201,38.83,-77.31,Top 500
Georgetown University,United States,201,38.91,-77.07,Top 500
Iowa State University,United States,201,42.03,-93.65,Top 500
Northeastern University (Boston),United States,201,42.34,-71.09,Top 500
The George Washington University,United States,201,38.9,-77.05,Top 500
The University of Georgia,United States,201,33.95,-83.38,Top 500
University of Alabama at Birmingham,United States,201,33.21,-87.54,Top 500
University of Colorado at Denver,United States,201,39.74,-104.99,Top 500
University of Delaware,United States,201,39.68,-75.75,Top 500
University of Hawaii at Manoa,United States,201,21.3,-157.82,Top 500
University of Houston,United States,201,29.72,-95.34,Top 500
University of Illinois at Chicago,United States,201,41.87,-87.65,Top 500
University of Kansas,United States,201,38.95,-95.26,Top 500
"University of Maryland, Baltimore",United States,201,39.29,-76.63,Top 500
University of Miami,United States,201,25.72,-80.27,Top 500
University of Missouri - Columbia,United States,201,38.94,-92.33,Top 500
University of Nebraska - Lincoln,United States,201,40.82,-96.7,Top 500
University of Notre Dame,United States,201,41.7,-86.24,Top 500
University of South Florida,United States,201,28.06,-82.41,Top 500
University of Tennessee - Knoxville,United States,201,35.95,-83.93,Top 500
Virginia Commonwealth University,United States,201,37.55,-77.45,Top 500
Virginia Polytechnic Institute and State University,United States,201,37.23,-80.42,Top 500
Curtin University,Australia,151,-32.01,115.89,Top 500
University of Vienna,Austria,151,48.21,16.36,Top 500
Catholic University of Louvain,Belgium,151,50.67,4.62,Top 500
Université libre de Bruxelles (ULB),Belgium,151,50.81,4.38,Top 500
University of Sao Paulo,Brazil,151,-23.56,-46.73,Top 500
The University of Calgary,Canada,151,51.08,-114.14,Top 500
University of Ottawa,Canada,151,45.42,-75.68,Top 500
University of Waterloo,Canada,151,43.47,-80.54,Top 500
Xian Jiaotong University,China,151,34.25,108.98,Top 500
Harbin Institute of Technology,China,151,45.75,126.63,Top 500
Huazhong University of Science and Technology,China,151,30.51,114.42,Top 500
Nanjing University,China,151,32.06,118.78,Top 500
Sichuan University,China,151,30.66,104.07,Top 500
The Chinese University of Hong Kong,China,151,22.42,114.21,Top 500
Technical University of Denmark,Denmark,151,55.7856,12.5214,Top 500
Université Grenoble Alpes,France,151,45.1914,5.7673,Top 500
University of Paris Descartes (Paris 5),France,151,48.8511,2.3407,Top 500
TU Dresden,Germany,151,51.0286,13.7314,Top 500
University of Cologne,Germany,151,50.9283,6.9294,Top 500
University of Muenster,Germany,151,51.9636,7.6133,Top 500
University of Wuerzburg,Germany,151,49.7882,9.9353,Top 500
University of Tuebingen,Germany,151,48.5295,9.0438,Top 500
University of Leipzig,Germany,151,51.3386,12.3785,Top 500
University of Hamburg,Germany,151,53.5666,9.9846,Top 500
The Chinese University of Hong Kong,"Hong Kong, China",151,22.4196,114.2068,Top 500
Trinity College Dublin,Ireland,151,53.3438,-6.2546,Top 500
Tel Aviv University,Israel,151,32.1133,34.8044,Top 500
University of Milan,Italy,151,45.4601,9.1946,Top 500
Hokkaido University,Japan,151,43.08,141.34,Top 500
Tokyo Institute of Technology,Japan,151,35.61,139.68,Top 500
Sungkyunkwan University,"Korea, Republic of",151,37.59,126.99,Top 500
Delft University of Technology,Netherlands,151,52,4.37,Top 500
University of Lisbon,Portugal,151,38.75,-9.16,Top 500
University of Barcelona,Spain,151,41.39,2.16,Top 500
National Taiwan University,"Taiwan, China",151,25.02,121.54,Top 500
The University of Glasgow,United Kingdom,151,55.87,-4.29,Top 500
Queen Mary University of London,United Kingdom,151,51.52,-0.04,Top 500
University of Exeter,United Kingdom,151,50.74,-3.54,Top 500
London School of Hygiene & Tropical Medicine,United Kingdom,151,51.52,-0.13,Top 500
North Carolina State University - Raleigh,United States,151,35.78,-78.68,Top 500
Oregon Health and Science University,United States,151,45.5,-122.69,Top 500
Oregon State University,United States,151,44.56,-123.28,Top 500
Texas A&M University,United States,151,30.62,-96.34,Top 500
Tufts University,United States,151,42.41,-71.12,Top 500
"University of California, Riverside",United States,151,33.97,-117.33,Top 500
University of Iowa,United States,151,41.66,-91.56,Top 500
University of Massachusetts Amherst,United States,151,42.39,-72.53,Top 500
University of Massachusetts Medical School - Worcester,United States,151,42.28,-71.76,Top 500
University of Rochester,United States,151,43.13,-77.63,Top 500
University of Virginia,United States,151,38.03,-78.51,Top 500
The University of New South Wales,Australia,101,-33.92,151.23,Top 500
The University of Adelaide,Australia,101,-34.92,138.61,Top 500
University of Montreal,Canada,101,45.51,-73.61,Top 500
University of Alberta,Canada,101,53.52,-113.53,Top 500
The University of Hong Kong,China,101,22.28,114.14,Top 500
Shanghai Jiao Tong University,China,101,31.32,121.49,Top 500
University of Science and Technology of China,China,101,31.82,117.28,Top 500
Fudan University,China,101,31.3,121.5,Top 500
