University,WorldRank,Year,Country
Rockefeller University,33,2011,United States
"University of Minnesota, Twin Cities",33,2007,United States
Rockefeller University,33,2015,United States
"University of California, Santa Barbara",33,2011,United States
"University of Minnesota, Twin Cities",33,2016,United States
Northwestern University,33,2006,United States
University of Colorado at Boulder,33,2013,United States
University of Colorado at Boulder,33,2012,United States
Rockefeller University,33,2014,United States
University of Colorado at Boulder,34,2008,United States
University of Colorado at Boulder,34,2009,United States
University of British Columbia,34,2016,Canada
"University of Minnesota, Twin Cities",34,2017,United States
University of Colorado at Boulder,34,2006,United States
"University of California, Santa Barbara",34,2012,United States
University of Colorado at Boulder,34,2007,United States
University of Colorado at Boulder,34,2014,United States
University of Colorado at Boulder,34,2015,United States
The University of Manchester,34,2018,United Kingdom
Rockefeller University,34,2013,United States
"University of California, Santa Barbara",34,2005,United States
Rockefeller University,34,2010,United States
University of North Carolina at Chapel Hill,35,2016,United States
University of Colorado at Boulder,35,2005,United States
University of Copenhagen,35,2015,Denmark
The University of Texas at Austin,35,2012,United States
The University of Manchester,35,2016,United Kingdom
"University of California, Santa Barbara",35,2007,United States
"University of California, Santa Barbara",35,2009,United States
Kyoto University,35,2017,Japan
"University of California, Santa Barbara",35,2006,United States
"University of California, Santa Barbara",35,2013,United States
Pierre and Marie Curie University - Paris 6,35,2014,France
University of British Columbia,35,2008,Canada
Kyoto University,35,2018,Japan
The University of Texas at Austin,35,2011,United States
Duke University,35,2010,United States
Duke University,35,2011,United States
University of British Columbia,36,2010,Canada
The University of Texas at Austin,36,2005,United States
"University of Maryland, College Park",36,2010,United States
Rockefeller University,36,2017,United States
University of British Columbia,36,2007,Canada
Sorbonne University,36,2018,France
The University of Texas at Austin,36,2013,United States
Duke University,36,2012,United States
University of British Columbia,36,2009,Canada
Pierre and Marie Curie University - Paris 6,36,2015,France
University of British Columbia,36,2006,Canada
University of North Carolina at Chapel Hill,36,2014,United States
"University of California, Santa Barbara",36,2008,United States
University of British Columbia,37,2014,Canada
"University of Maryland, College Park",37,2006,United States
"University of Maryland, College Park",37,2007,United States
University of British Columbia,37,2011,Canada
"University of Minnesota, Twin Cities",37,2018,United States
Rockefeller University,37,2016,United States
Pierre and Marie  Curie University - Paris 6,37,2013,
The University of Texas at Austin,37,2015,United States
University of Illinois at Urbana-Champaign,37,2017,United States
"University of Maryland, College Park",37,2009,United States
University of British Columbia,37,2005,Canada
University of Paris Sud (Paris 11),37,2012,France
"University of Maryland, College Park",37,2008,United States
The University of Melbourne,38,2018,Australia
"University of Maryland, College Park",38,2011,United States
"University of Maryland, College Park",38,2013,United States
The University of Manchester,38,2011,United Kingdom
The University of Manchester,38,2014,United Kingdom
"University of Maryland, College Park",38,2012,United States
"University of California, Santa Barbara",38,2015,United States
The University of Texas at Austin,38,2007,United States
The University of Manchester,38,2017,United Kingdom
University of Colorado at Boulder,38,2018,United States
University of North Carolina at Chapel Hill,38,2008,United States
The University of Texas at Austin,38,2009,United States
University of Colorado at Boulder,38,2016,United States
The University of Texas Southwestern Medical Center at Dallas,38,2005,United States
The University of Texas at Austin,38,2010,United States
The University of Texas Southwestern Medical Center at Dallas,38,2006,United States
University of North Carolina at Chapel Hill,39,2015,United States
The University of Texas at Austin,39,2014,United States
University of North Carolina at Chapel Hill,39,2009,United States
The University of Melbourne,39,2017,Australia
The University of Texas at Austin,39,2006,United States
Pierre and Marie Curie University - Paris 6,39,2010,France
Pennsylvania State University - University Park,39,2005,United States
The University of Texas Southwestern Medical Center at Dallas,39,2007,United States
University of Copenhagen,39,2014,Denmark
Vanderbilt University,39,2005,United States
The University of Texas at Austin,39,2008,United States
University of Paris Sud (Paris 11),39,2013,France
Pierre and Marie Curie University - Paris 6,39,2007,France
University of British Columbia,39,2012,Canada
Pierre and Marie  Curie University - Paris 6,39,2016,
The University of Manchester,40,2008,United Kingdom
Pierre and Marie  Curie University - Paris 6,40,2017,
Utrecht University,40,2006,Netherlands
University of British Columbia,40,2015,Canada
University of British Columbia,40,2013,Canada
The University of Texas at Austin,40,2018,United States
University of Copenhagen,40,2010,Denmark
University of Paris Sud (Paris 11),40,2011,France
Pierre and Marie Curie University - Paris 6,40,2009,France
The University of Manchester,40,2012,United Kingdom
The University of Melbourne,40,2016,Australia
Vanderbilt University,41,2009,United States
The University of Manchester,41,2015,United Kingdom
"University of California, Santa Barbara",41,2014,United States
University of Paris-Sud (Paris 11),41,2015,France
Vanderbilt University,41,2006,United States
University of Paris-Sud (Paris 11),41,2017,France
University of North Carolina at Chapel Hill,41,2012,United States
Vanderbilt University,41,2007,United States
The University of Manchester,41,2009,United Kingdom
"University of California, Davis",41,2005,United States
Pierre and Marie Curie University - Paris 6,41,2011,France
University of Illinois at Urbana-Champaign,41,2018,United States
Utrecht University,41,2005,Netherlands
The University of Edinburgh,41,2016,United Kingdom
The University of Manchester,41,2013,United Kingdom
The University of Texas Southwestern Medical Center at Dallas,41,2008,United States
University of North Carolina at Chapel Hill,41,2010,United States
"University of California, Davis",42,2006,United States
Pierre and Marie Curie University - Paris 6,42,2008,France
Utrecht University,42,2007,Netherlands
University of North Carolina at Chapel Hill,42,2011,United States
Pierre and Marie  Curie University - Paris 6,42,2012,
"University of California, Santa Barbara",42,2016,United States
Heidelberg University,42,2017,Germany
University of Copenhagen,42,2013,Denmark
