University,WorldRank,Country,Latitude,Longitude
University of Leeds,101,United Kingdom,0.0000,0.0000
University of Liverpool,101,United Kingdom,0.0000,0.0000
University of Nottingham,101,United Kingdom,0.0000,0.0000
Cardiff University,101,United Kingdom,0.0000,0.0000
University of Birmingham,101,United Kingdom,0.0000,0.0000
The University of Sheffield,101,United Kingdom,0.0000,0.0000
The University of Glasgow,151,United Kingdom,0.0000,0.0000
Queen Mary University of London,151,United Kingdom,0.0000,0.0000
University of Exeter,151,United Kingdom,0.0000,0.0000
London School of Hygiene & Tropical Medicine,151,United Kingdom,0.0000,0.0000
Newcastle University,201,United Kingdom,0.0000,0.0000
University of Leicester,201,United Kingdom,0.0000,0.0000
University of Aberdeen,201,United Kingdom,0.0000,0.0000
Queen's University,201,United Kingdom,0.0000,0.0000
The University of Reading,201,United Kingdom,0.0000,0.0000
University of East Anglia,201,United Kingdom,0.0000,0.0000
University of Sussex,201,United Kingdom,0.0000,0.0000
Durham University,201,United Kingdom,0.0000,0.0000
University of St Andrews,301,United Kingdom,0.0000,0.0000
University of Surrey,301,United Kingdom,0.0000,0.0000
University of York,301,United Kingdom,0.0000,0.0000
Queen's University Belfast,301,United Kingdom,0.0000,0.0000
The University of Dundee,301,United Kingdom,0.0000,0.0000
Lancaster University,301,United Kingdom,0.0000,0.0000
Heriot-Watt University,401,United Kingdom,0.0000,0.0000
University of Kent,401,United Kingdom,0.0000,0.0000
Brunel University,401,United Kingdom,0.0000,0.0000
St George's Hospital Medical School,401,United Kingdom,0.0000,0.0000
University of Bath,401,United Kingdom,0.0000,0.0000
Arizona State University,101,United States,33.4246,-111.9280
Baylor College of Medicine,101,United States,29.7105,-95.3965
Boston College,301,United States,42.3355,-71.1685
Boston University,70,United States,42.3505,-71.1054
Brandeis University,201,United States,42.3657,-71.2586
Brigham Young University,401,United States,40.2518,-111.6493
Brown University,101,United States,41.8268,-71.4025
California Institute of Technology,9,United States,34.1380,-118.1250
Carnegie Mellon University,91,United States,40.4432,-79.9428
Case Western Reserve University,101,United States,41.5043,-81.6084
City University of New York City College,401,United States,40.8200, -73.9493
Colorado State University,201,United States,40.5734,-105.0865
Columbia University,8,United States,40.8075,-73.9626
Cornell University,12,United States,42.4534,-76.4735
Dartmouth College,201,United States,43.7044,-72.2887
Drexel University,301,United States,39.9566,-75.1899
Duke University,26,United States,36.0014,-78.9382
Emory University,101,United States,33.7971,-84.3222
Florida International University,401,United States,29.6481,-82.3455
Florida State University,201,United States,30.4419,-84.2985
George Mason University,201,United States,38.8298,-77.3074
Georgetown University,201,United States,38.9076,-77.0723
Georgia Institute of Technology,79,United States,33.7756,-84.3963
Harvard University,1,United States,42.3770,-71.1167
Icahn School of Medicine at Mount Sinai,101,United States,40.7882,-73.9531
Indiana University Bloomington,101,United States,39.1754,-86.5126
Indiana University-Purdue University at Indianapolis,301,United States,40.4237,-86.9212
Iowa State University,201,United States,42.0267,-93.6465
Johns Hopkins University,18,United States,39.3299,-76.6205
Kansas State University,401,United States,39.1974,-96.5847
Kent State University,401,United States,41.1456,-81.3393
Louisiana State University - Baton Rouge,301,United States,30.4133,-91.1800
Massachusetts Institute of Technology,4,United States,42.3601,-71.0942
Mayo Medical School,81,United States,44.0224,-92.4668
Medical University of South Carolina,301,United States,32.7850,-79.9478
Michigan State University,101,United States,42.7018,-84.4822
Mississippi State University,401,United States,33.4552,-88.7944
New York University,32,United States,40.7295,-73.9965
North Carolina State University - Raleigh,151,United States,35.7847,-78.6821
Northeastern University (Boston),201,United States,42.3398,-71.0892
Northwestern University,25,United States,22.7825,-89.5504
Oklahoma State University,401,United States,36.1270,-97.0737
Oregon Health and Science University,151,United States,45.4981,-122.6856
Oregon State University,151,United States,44.5638,-123.2794
Pennsylvania State University - University Park,74,United States,40.7982,-77.8599
Princeton University,6,United States,40.3431,-74.6551
Purdue University - West Lafayette,70,United States,40.4237,-86.9212
Rice University,70,United States,29.7174,-95.4018
Rockefeller University,30,United States,40.7625,-73.9557
Rush University,401,United States,41.8746,-87.6688
"Rutgers, The State University of New Jersey - New Brunswick",101,United States,40.5008,-74.4474
Saint Louis University,401,United States,38.6359,-90.2342
Stanford University,2,United States,37.4275,-122.1697
Stony Brook University,301,United States,40.9048,-73.1240
Temple University,301,United States,39.9812,-75.1497
Texas A&M University,151,United States,30.6187,-96.3365
Texas Tech University,401,United States,33.5843,-101.8783
The George Washington University,201,United States,38.8997,-77.0486
The Ohio State University - Columbus,94,United States,40.0067,-83.0305
The University of Georgia,201,United States,33.9480,-83.3773
The University of New Mexico - Albuquerque,301,United States,35.0843,-106.6198
The University of Texas at Austin,40,United States,30.2849,-97.7341
The University of Texas at Dallas,301,United States,32.9858,-96.7501
The University of Texas Health Science Center at Houston,301,United States,29.7032,-95.4032
The University of Texas Health Science Center at San Antonio,301,United States,29.5075,-98.5754
The University of Texas M. D. Anderson Cancer Center,100,United States,29.7068,-95.3972
The University of Texas Medical Branch at Galveston,401,United States,29.3109,-94.7770
The University of Texas Southwestern Medical Center at Dallas,48,United States,32.8138,-96.8402
Thomas Jefferson University,401,United States,39.9480,-75.1567
Tufts University,151,United States,42.4085,-71.1183
University at Albany (State University of New York),401,United States,42.6850,-73.8248
"University at Buffalo, the State University of New York",301,United States,43.0008,-78.7890
